ID;Survived;PClass;Name;Sex;Age;SibSp;Parch;Fare;Embarked
1;No;3;Braund, Mr. Owen Harris;Male;22;1;0;7,25;S
2;Yes;1;Cumings, Mrs. John Bradley (Florence Briggs Thayer);Female;38;1;0;71,2833;C
3;Yes;3;Heikkinen, Miss. Laina;Female;26;0;0;7,925;S
4;Yes;1;Futrelle, Mrs. Jacques Heath (Lily May Peel);Female;35;1;0;53,1;S
5;No;3;Allen, Mr. William Henry;Male;35;0;0;8,05;S
6;No;3;Moran, Mr. James;Male;NA;0;0;8,4583;Q
7;No;1;McCarthy, Mr. Timothy J;Male;54;0;0;51,8625;S
8;No;3;Palsson, Master. Gosta Leonard;Male;2;3;1;21,075;S
9;Yes;3;Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg);Female;27;0;2;11,1333;S
10;Yes;2;Nasser, Mrs. Nicholas (Adele Achem);Female;14;1;0;30,0708;C
11;Yes;3;Sandstrom, Miss. Marguerite Rut;Female;4;1;1;16,7;S
12;Yes;1;Bonnell, Miss. Elizabeth;Female;58;0;0;26,55;S
13;No;3;Saundercock, Mr. William Henry;Male;20;0;0;8,05;S
14;No;3;Andersson, Mr. Anders Johan;Male;39;1;5;31,275;S
15;No;3;Vestrom, Miss. Hulda Amanda Adolfina;Female;14;0;0;7,8542;S
16;Yes;2;Hewlett, Mrs. (Mary D Kingcome) ;Female;55;0;0;16;S
17;No;3;Rice, Master. Eugene;Male;2;4;1;29,125;Q
18;Yes;2;Williams, Mr. Charles Eugene;Male;NA;0;0;13;S
19;No;3;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);Female;31;1;0;18;S
20;Yes;3;Masselmani, Mrs. Fatima;Female;NA;0;0;7,225;C
21;No;2;Fynney, Mr. Joseph J;Male;35;0;0;26;S
22;Yes;2;Beesley, Mr. Lawrence;Male;34;0;0;13;S
23;Yes;3;McGowan, Miss. Anna "Annie";Female;15;0;0;8,0292;Q
24;Yes;1;Sloper, Mr. William Thompson;Male;28;0;0;35,5;S
25;No;3;Palsson, Miss. Torborg Danira;Female;8;3;1;21,075;S
26;Yes;3;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);Female;38;1;5;31,3875;S
27;No;3;Emir, Mr. Farred Chehab;Male;NA;0;0;7,225;C
28;No;1;Fortune, Mr. Charles Alexander;Male;19;3;2;263;S
29;Yes;3;O'Dwyer, Miss. Ellen "Nellie";Female;NA;0;0;7,8792;Q
30;No;3;Todoroff, Mr. Lalio;Male;NA;0;0;7,8958;S
31;No;1;Uruchurtu, Don. Manuel E;Male;40;0;0;27,7208;C
32;Yes;1;Spencer, Mrs. William Augustus (Marie Eugenie);Female;NA;1;0;146,5208;C
33;Yes;3;Glynn, Miss. Mary Agatha;Female;NA;0;0;7,75;Q
34;No;2;Wheadon, Mr. Edward H;Male;66;0;0;10,5;S
35;No;1;Meyer, Mr. Edgar Joseph;Male;28;1;0;82,1708;C
36;No;1;Holverson, Mr. Alexander Oskar;Male;42;1;0;52;S
37;Yes;3;Mamee, Mr. Hanna;Male;NA;0;0;7,2292;C
38;No;3;Cann, Mr. Ernest Charles;Male;21;0;0;8,05;S
39;No;3;Vander Planke, Miss. Augusta Maria;Female;18;2;0;18;S
40;Yes;3;Nicola-Yarred, Miss. Jamila;Female;14;1;0;11,2417;C
41;No;3;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);Female;40;1;0;9,475;S
42;No;2;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);Female;27;1;0;21;S
43;No;3;Kraeff, Mr. Theodor;Male;NA;0;0;7,8958;C
44;Yes;2;Laroche, Miss. Simonne Marie Anne Andree;Female;3;1;2;41,5792;C
45;Yes;3;Devaney, Miss. Margaret Delia;Female;19;0;0;7,8792;Q
46;No;3;Rogers, Mr. William John;Male;NA;0;0;8,05;S
47;No;3;Lennon, Mr. Denis;Male;NA;1;0;15,5;Q
48;Yes;3;O'Driscoll, Miss. Bridget;Female;NA;0;0;7,75;Q
49;No;3;Samaan, Mr. Youssef;Male;NA;2;0;21,6792;C
50;No;3;Arnold-Franchi, Mrs. Josef (Josefine Franchi);Female;18;1;0;17,8;S
51;No;3;Panula, Master. Juha Niilo;Male;7;4;1;39,6875;S
52;No;3;Nosworthy, Mr. Richard Cater;Male;21;0;0;7,8;S
53;Yes;1;Harper, Mrs. Henry Sleeper (Myna Haxtun);Female;49;1;0;76,7292;C
54;Yes;2;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);Female;29;1;0;26;S
55;No;1;Ostby, Mr. Engelhart Cornelius;Male;65;0;1;61,9792;C
56;Yes;1;Woolner, Mr. Hugh;Male;NA;0;0;35,5;S
57;Yes;2;Rugg, Miss. Emily;Female;21;0;0;10,5;S
58;No;3;Novel, Mr. Mansouer;Male;28,5;0;0;7,2292;C
59;Yes;2;West, Miss. Constance Mirium;Female;5;1;2;27,75;S
60;No;3;Goodwin, Master. William Frederick;Male;11;5;2;46,9;S
61;No;3;Sirayanian, Mr. Orsen;Male;22;0;0;7,2292;C
62;Yes;1;Icard, Miss. Amelie;Female;38;0;0;80;NA
63;No;1;Harris, Mr. Henry Birkhardt;Male;45;1;0;83,475;S
64;No;3;Skoog, Master. Harald;Male;4;3;2;27,9;S
65;No;1;Stewart, Mr. Albert A;Male;NA;0;0;27,7208;C
66;Yes;3;Moubarek, Master. Gerios;Male;NA;1;1;15,2458;C
67;Yes;2;Nye, Mrs. (Elizabeth Ramell);Female;29;0;0;10,5;S
68;No;3;Crease, Mr. Ernest James;Male;19;0;0;8,1583;S
69;Yes;3;Andersson, Miss. Erna Alexandra;Female;17;4;2;7,925;S
70;No;3;Kink, Mr. Vincenz;Male;26;2;0;8,6625;S
71;No;2;Jenkin, Mr. Stephen Curnow;Male;32;0;0;10,5;S
72;No;3;Goodwin, Miss. Lillian Amy;Female;16;5;2;46,9;S
73;No;2;Hood, Mr. Ambrose Jr;Male;21;0;0;73,5;S
74;No;3;Chronopoulos, Mr. Apostolos;Male;26;1;0;14,4542;C
75;Yes;3;Bing, Mr. Lee;Male;32;0;0;56,4958;S
76;No;3;Moen, Mr. Sigurd Hansen;Male;25;0;0;7,65;S
77;No;3;Staneff, Mr. Ivan;Male;NA;0;0;7,8958;S
78;No;3;Moutal, Mr. Rahamin Haim;Male;NA;0;0;8,05;S
79;Yes;2;Caldwell, Master. Alden Gates;Male;0,83;0;2;29;S
80;Yes;3;Dowdell, Miss. Elizabeth;Female;30;0;0;12,475;S
81;No;3;Waelens, Mr. Achille;Male;22;0;0;9;S
82;Yes;3;Sheerlinck, Mr. Jan Baptist;Male;29;0;0;9,5;S
83;Yes;3;McDermott, Miss. Brigdet Delia;Female;NA;0;0;7,7875;Q
84;No;1;Carrau, Mr. Francisco M;Male;28;0;0;47,1;S
85;Yes;2;Ilett, Miss. Bertha;Female;17;0;0;10,5;S
86;Yes;3;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);Female;33;3;0;15,85;S
87;No;3;Ford, Mr. William Neal;Male;16;1;3;34,375;S
88;No;3;Slocovski, Mr. Selman Francis;Male;NA;0;0;8,05;S
89;Yes;1;Fortune, Miss. Mabel Helen;Female;23;3;2;263;S
90;No;3;Celotti, Mr. Francesco;Male;24;0;0;8,05;S
91;No;3;Christmann, Mr. Emil;Male;29;0;0;8,05;S
92;No;3;Andreasson, Mr. Paul Edvin;Male;20;0;0;7,8542;S
93;No;1;Chaffee, Mr. Herbert Fuller;Male;46;1;0;61,175;S
94;No;3;Dean, Mr. Bertram Frank;Male;26;1;2;20,575;S
95;No;3;Coxon, Mr. Daniel;Male;59;0;0;7,25;S
96;No;3;Shorney, Mr. Charles Joseph;Male;NA;0;0;8,05;S
97;No;1;Goldschmidt, Mr. George B;Male;71;0;0;34,6542;C
98;Yes;1;Greenfield, Mr. William Bertram;Male;23;0;1;63,3583;C
99;Yes;2;Doling, Mrs. John T (Ada Julia Bone);Female;34;0;1;23;S
100;No;2;Kantor, Mr. Sinai;Male;34;1;0;26;S
101;No;3;Petranec, Miss. Matilda;Female;28;0;0;7,8958;S
102;No;3;Petroff, Mr. Pastcho ("Pentcho");Male;NA;0;0;7,8958;S
103;No;1;White, Mr. Richard Frasar;Male;21;0;1;77,2875;S
104;No;3;Johansson, Mr. Gustaf Joel;Male;33;0;0;8,6542;S
105;No;3;Gustafsson, Mr. Anders Vilhelm;Male;37;2;0;7,925;S
106;No;3;Mionoff, Mr. Stoytcho;Male;28;0;0;7,8958;S
107;Yes;3;Salkjelsvik, Miss. Anna Kristine;Female;21;0;0;7,65;S
108;Yes;3;Moss, Mr. Albert Johan;Male;NA;0;0;7,775;S
109;No;3;Rekic, Mr. Tido;Male;38;0;0;7,8958;S
110;Yes;3;Moran, Miss. Bertha;Female;NA;1;0;24,15;Q
111;No;1;Porter, Mr. Walter Chamberlain;Male;47;0;0;52;S
112;No;3;Zabour, Miss. Hileni;Female;14,5;1;0;14,4542;C
113;No;3;Barton, Mr. David John;Male;22;0;0;8,05;S
114;No;3;Jussila, Miss. Katriina;Female;20;1;0;9,825;S
115;No;3;Attalah, Miss. Malake;Female;17;0;0;14,4583;C
116;No;3;Pekoniemi, Mr. Edvard;Male;21;0;0;7,925;S
117;No;3;Connors, Mr. Patrick;Male;70,5;0;0;7,75;Q
118;No;2;Turpin, Mr. William John Robert;Male;29;1;0;21;S
119;No;1;Baxter, Mr. Quigg Edmond;Male;24;0;1;247,5208;C
120;No;3;Andersson, Miss. Ellis Anna Maria;Female;2;4;2;31,275;S
121;No;2;Hickman, Mr. Stanley George;Male;21;2;0;73,5;S
122;No;3;Moore, Mr. Leonard Charles;Male;NA;0;0;8,05;S
123;No;2;Nasser, Mr. Nicholas;Male;32,5;1;0;30,0708;C
124;Yes;2;Webber, Miss. Susan;Female;32,5;0;0;13;S
125;No;1;White, Mr. Percival Wayland;Male;54;0;1;77,2875;S
126;Yes;3;Nicola-Yarred, Master. Elias;Male;12;1;0;11,2417;C
127;No;3;McMahon, Mr. Martin;Male;NA;0;0;7,75;Q
128;Yes;3;Madsen, Mr. Fridtjof Arne;Male;24;0;0;7,1417;S
129;Yes;3;Peter, Miss. Anna;Female;NA;1;1;22,3583;C
130;No;3;Ekstrom, Mr. Johan;Male;45;0;0;6,975;S
131;No;3;Drazenoic, Mr. Jozef;Male;33;0;0;7,8958;C
132;No;3;Coelho, Mr. Domingos Fernandeo;Male;20;0;0;7,05;S
133;No;3;Robins, Mrs. Alexander A (Grace Charity Laury);Female;47;1;0;14,5;S
134;Yes;2;Weisz, Mrs. Leopold (Mathilde Francoise Pede);Female;29;1;0;26;S
135;No;2;Sobey, Mr. Samuel James Hayden;Male;25;0;0;13;S
136;No;2;Richard, Mr. Emile;Male;23;0;0;15,0458;C
137;Yes;1;Newsom, Miss. Helen Monypeny;Female;19;0;2;26,2833;S
138;No;1;Futrelle, Mr. Jacques Heath;Male;37;1;0;53,1;S
139;No;3;Osen, Mr. Olaf Elon;Male;16;0;0;9,2167;S
140;No;1;Giglio, Mr. Victor;Male;24;0;0;79,2;C
141;No;3;Boulos, Mrs. Joseph (Sultana);Female;NA;0;2;15,2458;C
142;Yes;3;Nysten, Miss. Anna Sofia;Female;22;0;0;7,75;S
143;Yes;3;Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);Female;24;1;0;15,85;S
144;No;3;Burke, Mr. Jeremiah;Male;19;0;0;6,75;Q
145;No;2;Andrew, Mr. Edgardo Samuel;Male;18;0;0;11,5;S
146;No;2;Nicholls, Mr. Joseph Charles;Male;19;1;1;36,75;S
147;Yes;3;Andersson, Mr. August Edvard ("Wennerstrom");Male;27;0;0;7,7958;S
148;No;3;Ford, Miss. Robina Maggie "Ruby";Female;9;2;2;34,375;S
149;No;2;Navratil, Mr. Michel ("Louis M Hoffman");Male;36,5;0;2;26;S
150;No;2;Byles, Rev. Thomas Roussel Davids;Male;42;0;0;13;S
151;No;2;Bateman, Rev. Robert James;Male;51;0;0;12,525;S
152;Yes;1;Pears, Mrs. Thomas (Edith Wearne);Female;22;1;0;66,6;S
153;No;3;Meo, Mr. Alfonzo;Male;55,5;0;0;8,05;S
154;No;3;van Billiard, Mr. Austin Blyler;Male;40,5;0;2;14,5;S
155;No;3;Olsen, Mr. Ole Martin;Male;NA;0;0;7,3125;S
156;No;1;Williams, Mr. Charles Duane;Male;51;0;1;61,3792;C
157;Yes;3;Gilnagh, Miss. Katherine "Katie";Female;16;0;0;7,7333;Q
158;No;3;Corn, Mr. Harry;Male;30;0;0;8,05;S
159;No;3;Smiljanic, Mr. Mile;Male;NA;0;0;8,6625;S
160;No;3;Sage, Master. Thomas Henry;Male;NA;8;2;69,55;S
161;No;3;Cribb, Mr. John Hatfield;Male;44;0;1;16,1;S
162;Yes;2;Watt, Mrs. James (Elizabeth "Bessie" Inglis Milne);Female;40;0;0;15,75;S
163;No;3;Bengtsson, Mr. John Viktor;Male;26;0;0;7,775;S
164;No;3;Calic, Mr. Jovo;Male;17;0;0;8,6625;S
165;No;3;Panula, Master. Eino Viljami;Male;1;4;1;39,6875;S
166;Yes;3;Goldsmith, Master. Frank John William "Frankie";Male;9;0;2;20,525;S
167;Yes;1;Chibnall, Mrs. (Edith Martha Bowerman);Female;NA;0;1;55;S
168;No;3;Skoog, Mrs. William (Anna Bernhardina Karlsson);Female;45;1;4;27,9;S
169;No;1;Baumann, Mr. John D;Male;NA;0;0;25,925;S
170;No;3;Ling, Mr. Lee;Male;28;0;0;56,4958;S
171;No;1;Van der hoef, Mr. Wyckoff;Male;61;0;0;33,5;S
172;No;3;Rice, Master. Arthur;Male;4;4;1;29,125;Q
173;Yes;3;Johnson, Miss. Eleanor Ileen;Female;1;1;1;11,1333;S
174;No;3;Sivola, Mr. Antti Wilhelm;Male;21;0;0;7,925;S
175;No;1;Smith, Mr. James Clinch;Male;56;0;0;30,6958;C
176;No;3;Klasen, Mr. Klas Albin;Male;18;1;1;7,8542;S
177;No;3;Lefebre, Master. Henry Forbes;Male;NA;3;1;25,4667;S
178;No;1;Isham, Miss. Ann Elizabeth;Female;50;0;0;28,7125;C
179;No;2;Hale, Mr. Reginald;Male;30;0;0;13;S
180;No;3;Leonard, Mr. Lionel;Male;36;0;0;0;S
181;No;3;Sage, Miss. Constance Gladys;Female;NA;8;2;69,55;S
182;No;2;Pernot, Mr. Rene;Male;NA;0;0;15,05;C
183;No;3;Asplund, Master. Clarence Gustaf Hugo;Male;9;4;2;31,3875;S
184;Yes;2;Becker, Master. Richard F;Male;1;2;1;39;S
185;Yes;3;Kink-Heilmann, Miss. Luise Gretchen;Female;4;0;2;22,025;S
186;No;1;Rood, Mr. Hugh Roscoe;Male;NA;0;0;50;S
187;Yes;3;O'Brien, Mrs. Thomas (Johanna "Hannah" Godfrey);Female;NA;1;0;15,5;Q
188;Yes;1;Romaine, Mr. Charles Hallace ("Mr C Rolmane");Male;45;0;0;26,55;S
189;No;3;Bourke, Mr. John;Male;40;1;1;15,5;Q
190;No;3;Turcin, Mr. Stjepan;Male;36;0;0;7,8958;S
191;Yes;2;Pinsky, Mrs. (Rosa);Female;32;0;0;13;S
192;No;2;Carbines, Mr. William;Male;19;0;0;13;S
193;Yes;3;Andersen-Jensen, Miss. Carla Christine Nielsine;Female;19;1;0;7,8542;S
194;Yes;2;Navratil, Master. Michel M;Male;3;1;1;26;S
195;Yes;1;Brown, Mrs. James Joseph (Margaret Tobin);Female;44;0;0;27,7208;C
196;Yes;1;Lurette, Miss. Elise;Female;58;0;0;146,5208;C
197;No;3;Mernagh, Mr. Robert;Male;NA;0;0;7,75;Q
198;No;3;Olsen, Mr. Karl Siegwart Andreas;Male;42;0;1;8,4042;S
199;Yes;3;Madigan, Miss. Margaret "Maggie";Female;NA;0;0;7,75;Q
200;No;2;Yrois, Miss. Henriette ("Mrs Harbeck");Female;24;0;0;13;S
201;No;3;Vande Walle, Mr. Nestor Cyriel;Male;28;0;0;9,5;S
202;No;3;Sage, Mr. Frederick;Male;NA;8;2;69,55;S
203;No;3;Johanson, Mr. Jakob Alfred;Male;34;0;0;6,4958;S
204;No;3;Youseff, Mr. Gerious;Male;45,5;0;0;7,225;C
205;Yes;3;Cohen, Mr. Gurshon "Gus";Male;18;0;0;8,05;S
206;No;3;Strom, Miss. Telma Matilda;Female;2;0;1;10,4625;S
207;No;3;Backstrom, Mr. Karl Alfred;Male;32;1;0;15,85;S
208;Yes;3;Albimona, Mr. Nassef Cassem;Male;26;0;0;18,7875;C
209;Yes;3;Carr, Miss. Helen "Ellen";Female;16;0;0;7,75;Q
210;Yes;1;Blank, Mr. Henry;Male;40;0;0;31;C
211;No;3;Ali, Mr. Ahmed;Male;24;0;0;7,05;S
212;Yes;2;Cameron, Miss. Clear Annie;Female;35;0;0;21;S
213;No;3;Perkin, Mr. John Henry;Male;22;0;0;7,25;S
214;No;2;Givard, Mr. Hans Kristensen;Male;30;0;0;13;S
215;No;3;Kiernan, Mr. Philip;Male;NA;1;0;7,75;Q
216;Yes;1;Newell, Miss. Madeleine;Female;31;1;0;113,275;C
217;Yes;3;Honkanen, Miss. Eliina;Female;27;0;0;7,925;S
218;No;2;Jacobsohn, Mr. Sidney Samuel;Male;42;1;0;27;S
219;Yes;1;Bazzani, Miss. Albina;Female;32;0;0;76,2917;C
220;No;2;Harris, Mr. Walter;Male;30;0;0;10,5;S
221;Yes;3;Sunderland, Mr. Victor Francis;Male;16;0;0;8,05;S
222;No;2;Bracken, Mr. James H;Male;27;0;0;13;S
223;No;3;Green, Mr. George Henry;Male;51;0;0;8,05;S
224;No;3;Nenkoff, Mr. Christo;Male;NA;0;0;7,8958;S
225;Yes;1;Hoyt, Mr. Frederick Maxfield;Male;38;1;0;90;S
226;No;3;Berglund, Mr. Karl Ivar Sven;Male;22;0;0;9,35;S
227;Yes;2;Mellors, Mr. William John;Male;19;0;0;10,5;S
228;No;3;Lovell, Mr. John Hall ("Henry");Male;20,5;0;0;7,25;S
229;No;2;Fahlstrom, Mr. Arne Jonas;Male;18;0;0;13;S
230;No;3;Lefebre, Miss. Mathilde;Female;NA;3;1;25,4667;S
231;Yes;1;Harris, Mrs. Henry Birkhardt (Irene Wallach);Female;35;1;0;83,475;S
232;No;3;Larsson, Mr. Bengt Edvin;Male;29;0;0;7,775;S
233;No;2;Sjostedt, Mr. Ernst Adolf;Male;59;0;0;13,5;S
234;Yes;3;Asplund, Miss. Lillian Gertrud;Female;5;4;2;31,3875;S
235;No;2;Leyson, Mr. Robert William Norman;Male;24;0;0;10,5;S
236;No;3;Harknett, Miss. Alice Phoebe;Female;NA;0;0;7,55;S
237;No;2;Hold, Mr. Stephen;Male;44;1;0;26;S
238;Yes;2;Collyer, Miss. Marjorie "Lottie";Female;8;0;2;26,25;S
239;No;2;Pengelly, Mr. Frederick William;Male;19;0;0;10,5;S
240;No;2;Hunt, Mr. George Henry;Male;33;0;0;12,275;S
241;No;3;Zabour, Miss. Thamine;Female;NA;1;0;14,4542;C
242;Yes;3;Murphy, Miss. Katherine "Kate";Female;NA;1;0;15,5;Q
243;No;2;Coleridge, Mr. Reginald Charles;Male;29;0;0;10,5;S
244;No;3;Maenpaa, Mr. Matti Alexanteri;Male;22;0;0;7,125;S
245;No;3;Attalah, Mr. Sleiman;Male;30;0;0;7,225;C
246;No;1;Minahan, Dr. William Edward;Male;44;2;0;90;Q
247;No;3;Lindahl, Miss. Agda Thorilda Viktoria;Female;25;0;0;7,775;S
248;Yes;2;Hamalainen, Mrs. William (Anna);Female;24;0;2;14,5;S
249;Yes;1;Beckwith, Mr. Richard Leonard;Male;37;1;1;52,5542;S
250;No;2;Carter, Rev. Ernest Courtenay;Male;54;1;0;26;S
251;No;3;Reed, Mr. James George;Male;NA;0;0;7,25;S
252;No;3;Strom, Mrs. Wilhelm (Elna Matilda Persson);Female;29;1;1;10,4625;S
253;No;1;Stead, Mr. William Thomas;Male;62;0;0;26,55;S
254;No;3;Lobb, Mr. William Arthur;Male;30;1;0;16,1;S
255;No;3;Rosblom, Mrs. Viktor (Helena Wilhelmina);Female;41;0;2;20,2125;S
256;Yes;3;Touma, Mrs. Darwis (Hanne Youssef Razi);Female;29;0;2;15,2458;C
257;Yes;1;Thorne, Mrs. Gertrude Maybelle;Female;NA;0;0;79,2;C
258;Yes;1;Cherry, Miss. Gladys;Female;30;0;0;86,5;S
259;Yes;1;Ward, Miss. Anna;Female;35;0;0;512,3292;C
260;Yes;2;Parrish, Mrs. (Lutie Davis);Female;50;0;1;26;S
261;No;3;Smith, Mr. Thomas;Male;NA;0;0;7,75;Q
262;Yes;3;Asplund, Master. Edvin Rojj Felix;Male;3;4;2;31,3875;S
263;No;1;Taussig, Mr. Emil;Male;52;1;1;79,65;S
264;No;1;Harrison, Mr. William;Male;40;0;0;0;S
265;No;3;Henry, Miss. Delia;Female;NA;0;0;7,75;Q
266;No;2;Reeves, Mr. David;Male;36;0;0;10,5;S
267;No;3;Panula, Mr. Ernesti Arvid;Male;16;4;1;39,6875;S
268;Yes;3;Persson, Mr. Ernst Ulrik;Male;25;1;0;7,775;S
269;Yes;1;Graham, Mrs. William Thompson (Edith Junkins);Female;58;0;1;153,4625;S
270;Yes;1;Bissette, Miss. Amelia;Female;35;0;0;135,6333;S
271;No;1;Cairns, Mr. Alexander;Male;NA;0;0;31;S
272;Yes;3;Tornquist, Mr. William Henry;Male;25;0;0;0;S
273;Yes;2;Mellinger, Mrs. (Elizabeth Anne Maidment);Female;41;0;1;19,5;S
274;No;1;Natsch, Mr. Charles H;Male;37;0;1;29,7;C
275;Yes;3;Healy, Miss. Hanora "Nora";Female;NA;0;0;7,75;Q
276;Yes;1;Andrews, Miss. Kornelia Theodosia;Female;63;1;0;77,9583;S
277;No;3;Lindblom, Miss. Augusta Charlotta;Female;45;0;0;7,75;S
278;No;2;Parkes, Mr. Francis "Frank";Male;NA;0;0;0;S
279;No;3;Rice, Master. Eric;Male;7;4;1;29,125;Q
280;Yes;3;Abbott, Mrs. Stanton (Rosa Hunt);Female;35;1;1;20,25;S
281;No;3;Duane, Mr. Frank;Male;65;0;0;7,75;Q
282;No;3;Olsson, Mr. Nils Johan Goransson;Male;28;0;0;7,8542;S
283;No;3;de Pelsmaeker, Mr. Alfons;Male;16;0;0;9,5;S
284;Yes;3;Dorking, Mr. Edward Arthur;Male;19;0;0;8,05;S
285;No;1;Smith, Mr. Richard William;Male;NA;0;0;26;S
286;No;3;Stankovic, Mr. Ivan;Male;33;0;0;8,6625;C
287;Yes;3;de Mulder, Mr. Theodore;Male;30;0;0;9,5;S
288;No;3;Naidenoff, Mr. Penko;Male;22;0;0;7,8958;S
289;Yes;2;Hosono, Mr. Masabumi;Male;42;0;0;13;S
290;Yes;3;Connolly, Miss. Kate;Female;22;0;0;7,75;Q
291;Yes;1;Barber, Miss. Ellen "Nellie";Female;26;0;0;78,85;S
292;Yes;1;Bishop, Mrs. Dickinson H (Helen Walton);Female;19;1;0;91,0792;C
293;No;2;Levy, Mr. Rene Jacques;Male;36;0;0;12,875;C
294;No;3;Haas, Miss. Aloisia;Female;24;0;0;8,85;S
295;No;3;Mineff, Mr. Ivan;Male;24;0;0;7,8958;S
296;No;1;Lewy, Mr. Ervin G;Male;NA;0;0;27,7208;C
297;No;3;Hanna, Mr. Mansour;Male;23,5;0;0;7,2292;C
298;No;1;Allison, Miss. Helen Loraine;Female;2;1;2;151,55;S
